Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality
1665531116.3221412,1,1665545353,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665531116.8844144,2,1665545517,0,GPS1_Frame,42.33617401123047,-71.08860778808594,38.70000076293945,327936.09375,4689215.0,19,T,4
1665531117.8580792,3,1665545518,0,GPS1_Frame,42.33617401123047,-71.08860778808594,39.0,327936.4375,4689215.0,19,T,4
1665531118.8707187,4,1665545519,0,GPS1_Frame,42.33617401123047,-71.0886001586914,39.0,327936.875,4689215.0,19,T,4
1665531119.8631227,5,1665545520,0,GPS1_Frame,42.336177825927734,-71.08859252929688,38.79999923706055,327937.34375,4689215.5,19,T,4
1665531120.8704464,6,1665545521,0,GPS1_Frame,42.336181640625,-71.08859252929688,38.79999923706055,327937.84375,4689215.5,19,T,4
1665531121.8555994,7,1665545522,0,GPS1_Frame,42.336181640625,-71.08858489990234,39.0,327938.0,4689216.0,19,T,4
1665531122.8676064,8,1665545523,0,GPS1_Frame,42.336185455322266,-71.08858489990234,39.099998474121094,327938.375,4689216.0,19,T,4
1665531123.857184,9,1665545524,0,GPS1_Frame,42.33618927001953,-71.08857727050781,39.099998474121094,327938.71875,4689216.5,19,T,4
1665531124.8830552,10,1665545525,0,GPS1_Frame,42.3361930847168,-71.08857727050781,39.099998474121094,327939.0,4689217.0,19,T,4
1665531125.865078,11,1665545526,0,GPS1_Frame,42.33619689941406,-71.08856964111328,39.099998474121094,327939.25,4689217.5,19,T,4
1665531126.8797848,12,1665545527,0,GPS1_Frame,42.33619689941406,-71.08856964111328,39.099998474121094,327939.5,4689217.5,19,T,4
1665531127.8486447,13,1665545528,0,GPS1_Frame,42.33620071411133,-71.08856964111328,39.099998474121094,327939.78125,4689218.0,19,T,4
1665531128.879075,14,1665545529,0,GPS1_Frame,42.336204528808594,-71.08856201171875,39.099998474121094,327940.09375,4689218.0,19,T,4
1665531129.8617373,15,1665545530,0,GPS1_Frame,42.336204528808594,-71.08856201171875,39.099998474121094,327940.34375,4689218.5,19,T,4
1665531130.8734136,16,1665545531,0,GPS1_Frame,42.33620834350586,-71.08855438232422,39.099998474121094,327940.59375,4689218.5,19,T,4
1665531131.8540432,17,1665545532,0,GPS1_Frame,42.33620834350586,-71.08855438232422,39.099998474121094,327940.71875,4689219.0,19,T,4
1665531132.874156,18,1665545533,0,GPS1_Frame,42.336212158203125,-71.08855438232422,39.099998474121094,327940.9375,4689219.0,19,T,4
1665531133.8636816,19,1665545534,0,GPS1_Frame,42.33621597290039,-71.08854675292969,39.20000076293945,327941.21875,4689219.5,19,T,4
1665531134.8720965,20,1665545535,0,GPS1_Frame,42.33621597290039,-71.08854675292969,39.20000076293945,327941.40625,4689219.5,19,T,4
1665531135.8459184,21,1665545536,0,GPS1_Frame,42.336219787597656,-71.08854675292969,39.29999923706055,327941.75,4689220.0,19,T,4
1665531136.871522,22,1665545537,0,GPS1_Frame,42.33622360229492,-71.08853912353516,39.29999923706055,327942.25,4689220.5,19,T,4
1665531137.8561804,23,1665545538,0,GPS1_Frame,42.33623123168945,-71.08853149414062,39.29999923706055,327942.625,4689221.0,19,T,4
1665531138.8640554,24,1665545539,0,GPS1_Frame,42.33623504638672,-71.08853149414062,39.400001525878906,327943.0,4689221.5,19,T,4
