Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,roll,pitch,yaw,string
1667362682.2170935,0,1667362682,188790082,IMU1_Frame,0,0,0,,-0.06569535091798924,0.06592266567671183,0.6065360110973461,0.7895900140325729,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.011958,0.010515,-0.043064,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.123,-0.202,-9.011,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0309,-0.2139,0.3387,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.386,10.591,74.932,"$VNYMR,+074.932,+010.591,-001.386,+00.0309,-00.2139,+00.3387,+02.123,-00.202,-09.011,+00.011958,+00.010515,-00.043064*65
"
1667362682.217134,0,1667362682,213723659,IMU1_Frame,0,0,0,,-0.06577028534616726,0.06621387471187291,0.6060369119110988,0.7899425635844566,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.017336,0.024095,-0.04972,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.122,-0.263,-9.1,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0272,-0.2118,0.333,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.379,10.622,74.862,"$VNYMR,+074.862,+010.622,-001.379,+00.0272,-00.2118,+00.3330,+02.122,-00.263,-09.100,+00.017336,+00.024095,-00.049720*6C
"
1667362682.2604136,0,1667362682,239404439,IMU1_Frame,0,0,0,,-0.06583977542891561,0.06652083332400623,0.6054951652575751,0.790326329787292,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.018072,0.029862,-0.052284,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.058,-0.144,-9.084,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0309,-0.2119,0.3342,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.371,10.654,74.786,"$VNYMR,+074.786,+010.654,-001.371,+00.0309,-00.2119,+00.3342,+02.058,-00.144,-09.084,+00.018072,+00.029862,-00.052284*6E
"
1667362682.2651513,0,1667362682,264725923,IMU1_Frame,0,0,0,,-0.06592995253237299,0.06686764391001661,0.6048889364377669,0.79075364945866,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.018643,0.031174,-0.061024,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.948,-0.164,-9.364,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0282,-0.2079,0.3485,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.363,10.691,74.701,"$VNYMR,+074.701,+010.691,-001.363,+00.0282,-00.2079,+00.3485,+01.948,-00.164,-09.364,+00.018643,+00.031174,-00.061024*6D
"
1667362682.307098,0,1667362682,289323091,IMU1_Frame,0,0,0,,-0.06601468412137695,0.06726328442492294,0.6042167524385403,0.7912267867819884,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.022542,0.026293,-0.066448,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.083,-0.278,-9.167,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.031,-0.2089,0.3442,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.352,10.732,74.607,"$VNYMR,+074.607,+010.732,-001.352,+00.0310,-00.2089,+00.3442,+02.083,-00.278,-09.167,+00.022542,+00.026293,-00.066448*62
"
1667362682.3507705,0,1667362682,314783811,IMU1_Frame,0,0,0,,-0.06611390698162181,0.0676925479219147,0.6034733108294463,0.791749097489862,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.019611,0.032515,-0.071802,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.365,-0.541,-9.133,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0234,-0.2117,0.3428,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.341,10.777,74.503,"$VNYMR,+074.503,+010.777,-001.341,+00.0234,-00.2117,+00.3428,+02.365,-00.541,-09.133,+00.019611,+00.032515,-00.071802*69
"
1667362682.350783,0,1667362682,339108943,IMU1_Frame,0,0,0,,-0.06623743873862722,0.06818039393074571,0.6026704321253726,0.7923082643987828,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.025046,0.032706,-0.076223,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.295,-0.539,-9.206,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.031,-0.209,0.3398,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.329,10.829,74.391,"$VNYMR,+074.391,+010.829,-001.329,+00.0310,-00.2090,+00.3398,+03.295,-00.539,-09.206,+00.025046,+00.032706,-00.076223*6B
"
1667362682.3937454,0,1667362682,364100933,IMU1_Frame,0,0,0,,-0.06638886559429645,0.06869153772882046,0.601797157107881,0.7929149846398572,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.018885,0.051098,-0.083014,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.477,-0.014,-9.763,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0281,-0.2109,0.3352,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.319,10.885,74.269,"$VNYMR,+074.269,+010.885,-001.319,+00.0281,-00.2109,+00.3352,+04.477,-00.014,-09.763,+00.018885,+00.051098,-00.083014*67
"
1667362682.393788,0,1667362682,388999938,IMU1_Frame,0,0,0,,-0.06646068435887252,0.06917724620385786,0.6008201426756576,0.7936073602212895,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.025624,0.039385,-0.09855,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.407,0.067,-9.424,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0301,-0.2109,0.3453,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.305,10.933,74.132,"$VNYMR,+074.132,+010.933,-001.305,+00.0301,-00.2109,+00.3453,+04.407,+00.067,-09.424,+00.025624,+00.039385,-00.098550*64
"
1667362682.437064,0,1667362682,413930416,IMU1_Frame,0,0,0,,-0.06648364912614849,0.0696899787779251,0.599749407062875,0.7943701152388181,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.047149,0.012579,-0.111876,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.785,-0.368,-8.918,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0281,-0.2119,0.3408,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.286,10.98,73.982,"$VNYMR,+073.982,+010.980,-001.286,+00.0281,-00.2119,+00.3408,+03.785,-00.368,-08.918,+00.047149,+00.012579,-00.111876*6E
"
