Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality
1666026623.0576327,156,1666041023,0,GPS1_Frame,42.33961868286133,-71.08712005615234,-0.800000011920929,328068.53125,4689594.5,19,T,2
1666026624.063286,157,1666041024,0,GPS1_Frame,42.33962631225586,-71.08710479736328,-0.6000000238418579,328069.34375,4689595.0,19,T,2
1666026625.0578978,158,1666041025,0,GPS1_Frame,42.33962631225586,-71.08711242675781,-0.4000000059604645,328069.09375,4689595.5,19,T,2
1666026626.0558484,159,1666041026,0,GPS1_Frame,42.339622497558594,-71.08711242675781,0.699999988079071,328069.15625,4689595.0,19,T,5
1666026627.0630844,160,1666041027,0,GPS1_Frame,42.339622497558594,-71.08710479736328,0.699999988079071,328069.625,4689595.0,19,T,5
1666026628.0580559,161,1666041028,0,GPS1_Frame,42.33962631225586,-71.08709716796875,1.399999976158142,328070.09375,4689595.0,19,T,5
1666026629.0663147,162,1666041029,0,GPS1_Frame,42.33962631225586,-71.08709716796875,1.600000023841858,328070.03125,4689595.0,19,T,2
1666026630.064077,163,1666041030,0,GPS1_Frame,42.33962631225586,-71.08708953857422,1.7000000476837158,328070.5625,4689595.0,19,T,5
1666026631.0648985,164,1666041031,0,GPS1_Frame,42.33963394165039,-71.08707427978516,3.0,328071.75,4689596.0,19,T,5
1666026632.0674577,165,1666041032,0,GPS1_Frame,42.33963394165039,-71.08706665039062,3.5999999046325684,328072.4375,4689596.0,19,T,5
1666026633.0622644,166,1666041033,0,GPS1_Frame,42.33961868286133,-71.0870590209961,4.5,328073.375,4689594.0,19,T,2
1666026634.063046,167,1666041034,0,GPS1_Frame,42.33960723876953,-71.08705139160156,3.9000000953674316,328073.78125,4689593.0,19,T,2
1666026635.056839,168,1666041035,0,GPS1_Frame,42.33960723876953,-71.08704376220703,3.0,328074.3125,4689593.0,19,T,5
1666026636.0673316,169,1666041036,0,GPS1_Frame,42.33960723876953,-71.0870361328125,2.5,328074.8125,4689593.0,19,T,2
1666026637.0645125,170,1666041037,0,GPS1_Frame,42.3396110534668,-71.0870361328125,2.799999952316284,328075.4375,4689593.5,19,T,2
1666026638.0590267,171,1666041038,0,GPS1_Frame,42.33961486816406,-71.08702850341797,2.5999999046325684,328075.96875,4689593.5,19,T,2
1666026639.0626352,172,1666041039,0,GPS1_Frame,42.33960723876953,-71.08702087402344,2.299999952316284,328076.34375,4689593.0,19,T,5
1666026640.0635395,173,1666041040,0,GPS1_Frame,42.339603424072266,-71.0870132446289,3.299999952316284,328077.09375,4689592.5,19,T,5
