Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1667362833.313365,0,15634,0,GPS1_Frame,42.33970166666666,-71.09030833333334,18.1,327805.80751549214,4689610.108707885,19,T
1667362834.3111498,0,15635,0,GPS1_Frame,42.33973999999999,-71.09021,17.7,327814.0129360526,4689614.166197282,19,T
1667362835.3136487,0,15636,0,GPS1_Frame,42.33978333333332,-71.09009999999999,17.4,327823.193103107,4689618.755283478,19,T
1667362836.3144753,0,15637,0,GPS1_Frame,42.339830000000006,-71.08998666666666,17.2,327832.65695787844,4689623.707773276,19,T
1667362837.3125954,0,15638,0,GPS1_Frame,42.33987666666667,-71.08986833333334,17.0,327842.5327020267,4689628.650151758,19,T
1667362838.3144727,0,15639,0,GPS1_Frame,42.33992499999999,-71.08975,16.9,327852.41298018326,4689633.7776145,19,T
1667362839.314819,0,15640,0,GPS1_Frame,42.33997333333333,-71.08963333333334,16.8,327862.15594260045,4689638.908464983,19,T
1667362840.3142276,0,15641,0,GPS1_Frame,42.34002000000001,-71.08951499999999,16.8,327872.0316431675,4689643.850883906,19,T
1667362841.3140743,0,15642,0,GPS1_Frame,42.340070000000004,-71.08939833333334,16.9,327881.7791240035,4689649.166831621,19,T
1667362842.3154638,0,15643,0,GPS1_Frame,42.340113333333335,-71.08927833333334,16.8,327891.78300112474,4689653.735762381,19,T
1667362843.319117,0,15644,0,GPS1_Frame,42.34016333333334,-71.089155,16.3,327902.0796540487,4689659.038243082,19,T
1667362844.3192422,0,15645,0,GPS1_Frame,42.34021333333333,-71.08902833333333,15.9,327912.6508915307,4689664.333992046,19,T
1667362845.3158681,0,15646,0,GPS1_Frame,42.340264999999995,-71.08889999999998,15.6,327923.36395928287,4689669.81145423,19,T
1667362846.312009,0,15647,0,GPS1_Frame,42.34031666666666,-71.08877166666667,15.4,327934.07700975885,4689675.288932344,19,T
1667362847.3226624,0,15648,0,GPS1_Frame,42.34036833333333,-71.08864166666666,15.4,327944.92734292964,4689680.76305379,19,T
1667362848.3298616,0,15649,0,GPS1_Frame,42.34042166666667,-71.08851,15.5,327955.91950419475,4689686.418889911,19,T
1667362849.328112,0,15650,0,GPS1_Frame,42.340475,-71.08838,15.6,327966.7743474298,4689692.078114973,19,T
1667362850.321613,0,15651,0,GPS1_Frame,42.34052833333334,-71.08825166666668,15.7,327977.4918729847,4689697.74072835,19,T
1667362851.322508,0,15652,0,GPS1_Frame,42.34058,-71.08812333333334,15.6,327988.2048358014,4689703.218286938,19,T
1667362852.3199837,0,15653,0,GPS1_Frame,42.34063166666666,-71.08799833333335,15.5,327998.6431825573,4689708.70260457,19,T
1667362853.3281171,0,15654,0,GPS1_Frame,42.340685,-71.087875,15.4,328008.948757599,4689714.375379395,19,T
1667362854.3284678,0,15655,0,GPS1_Frame,42.34073833333333,-71.08775500000002,15.2,328018.97971720016,4689720.054911264,19,T
1667362855.3287625,0,15656,0,GPS1_Frame,42.340788333333336,-71.08763666666667,15.1,328028.86427336675,4689725.367686602,19,T
1667362856.3283656,0,15657,0,GPS1_Frame,42.340835,-71.08751833333335,14.9,328038.73972689,4689730.310334048,19,T
1667362857.3281493,0,15658,0,GPS1_Frame,42.340880000000006,-71.08739833333334,14.7,328048.7479215027,4689735.064553725,19,T
1667362858.3288026,0,15659,0,GPS1_Frame,42.340925,-71.08728,14.7,328058.61880328547,4689739.822157731,19,T
1667362859.3287551,0,15660,0,GPS1_Frame,42.34097166666667,-71.08716333333335,14.7,328068.3569153918,4689744.768216213,19,T
1667362860.3295932,0,15661,0,GPS1_Frame,42.34101999999999,-71.08704999999999,14.9,328077.8249588453,4689749.906098634,19,T
1667362861.3285172,0,15662,0,GPS1_Frame,42.341073333333334,-71.08694000000001,15.0,328087.0320183087,4689755.6059453385,19,T
1667362862.321458,0,15663,0,GPS1_Frame,42.34113,-71.08683166666667,15.7,328096.1108485192,4689761.679314863,19,T
1667362863.3210979,0,15664,0,GPS1_Frame,42.341195000000006,-71.08672833333333,15.9,328104.80047791754,4689768.688157866,19,T
1667362864.3188872,0,15665,0,GPS1_Frame,42.34126333333333,-71.08662833333332,16.0,328113.2245773358,4689776.073891345,19,T
1667362865.3279521,0,15666,0,GPS1_Frame,42.341334999999994,-71.08653166666666,15.9,328121.38314639864,4689783.836514345,19,T
