Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,deriv_northing,deriv_easting,deriv_speed_mag
0.0,0,15634,0,GPS1_Frame,42.33970166666666,-71.09030833333334,18.1,327805.80751549214,4689610.108707885,19,T,,,
0.9977848529815674,0,15635,0,GPS1_Frame,42.33973999999999,-71.09021,17.7,327814.0129360526,4689614.166197282,19,T,4.332885775235345,8.71209237286634,9.730079786650911
2.000283718109131,0,15636,0,GPS1_Frame,42.33978333333332,-71.09009999999999,17.4,327823.193103107,4689618.755283478,19,T,4.758896157053066,9.298774529531533,10.445779070259853
3.001110315322876,0,15637,0,GPS1_Frame,42.339830000000006,-71.08998666666666,17.2,327832.65695787844,4689623.707773276,19,T,4.943347982700224,9.66181303213323,10.852986701639594
3.99923038482666,0,15638,0,GPS1_Frame,42.33987666666667,-71.08986833333334,17.0,327842.5327020267,4689628.650151758,19,T,5.04440374077762,9.896616102831235,11.108061009320652
5.001107931137085,0,15639,0,GPS1_Frame,42.33992499999999,-71.08975,16.9,327852.41298018326,4689633.7776145,19,T,5.11954443056879,9.793233038311373,11.050662809046402
6.00145411491394,0,15640,0,GPS1_Frame,42.33997333333333,-71.08963333333334,16.8,327862.15594260045,4689638.908464983,19,T,5.03489170487467,9.80593683586397,11.023000122868982
7.0008625984191895,0,15641,0,GPS1_Frame,42.34002000000001,-71.08951499999999,16.8,327872.0316431675,4689643.850883906,19,T,5.132219111190555,9.817397854282593,11.077949884095975
8.000709533691406,0,15642,0,GPS1_Frame,42.34007,-71.08939833333334,16.9,327881.7791240035,4689649.166831621,19,T,4.943195866539196,9.877190828152921,11.045093210594393
9.002098798751831,0,15643,0,GPS1_Frame,42.340113333333335,-71.08927833333334,16.8,327891.78300112474,4689653.735762381,19,T,4.928858240150724,10.13618317748299,11.271018275160007
10.005752086639404,0,15644,0,GPS1_Frame,42.34016333333334,-71.089155,16.3,327902.0796540487,4689659.038243082,19,T,5.279826107886162,10.395965747223196,11.65987425090658
11.005877256393433,0,15645,0,GPS1_Frame,42.34021333333333,-71.08902833333333,15.9,327912.6508915307,4689664.333992046,19,T,5.38593141810727,10.640820708163616,11.926245116709561
12.002502918243408,0,15646,0,GPS1_Frame,42.340265,-71.08889999999998,15.6,327923.36395928287,4689669.81145423,19,T,5.4960155638105235,10.749330991741209,12.072874713491213
12.99864411354065,0,15647,0,GPS1_Frame,42.34031666666666,-71.08877166666667,15.4,327934.07700975885,4689675.288932344,19,T,5.4970116743735336,10.823457431825556,12.139372641398682
14.009297370910645,0,15648,0,GPS1_Frame,42.34036833333333,-71.08864166666666,15.4,327944.92734292964,4689680.76305379,19,T,5.506318554759516,10.80612676831407,12.12814576756739
15.016496658325195,0,15649,0,GPS1_Frame,42.34042166666667,-71.08851,15.5,327955.91950419475,4689686.418889911,19,T,5.61709153542579,10.84542293325093,12.21371834939865
16.01474690437317,0,15650,0,GPS1_Frame,42.340475,-71.08838,15.6,327966.7743474298,4689692.078114973,19,T,5.670841797567719,10.80509064502308,12.20280420805834
17.00824809074402,0,15651,0,GPS1_Frame,42.34052833333334,-71.08825166666668,15.7,327977.4918729847,4689697.74072835,19,T,5.606521722106169,10.785336074868978,12.155515623301156
18.009143114089966,0,15652,0,GPS1_Frame,42.34058,-71.08812333333334,15.6,327988.2048358014,4689703.218286938,19,T,5.476036929140063,10.56619779261067,11.900904009438792
19.00661849975586,0,15653,0,GPS1_Frame,42.34063166666666,-71.08799833333335,15.5,327998.6431825573,4689708.70260457,19,T,5.592665551971304,10.39821237481362,11.806808568276763
20.01475214958191,0,15654,0,GPS1_Frame,42.340685,-71.087875,15.4,328008.948757599,4689714.375379395,19,T,5.630357986637559,10.086229462907154,11.551318359222451
21.015102863311768,0,15655,0,GPS1_Frame,42.34073833333333,-71.08775500000002,15.2,328018.97971720016,4689720.054911264,19,T,5.494226703033855,9.954266785847352,11.369870461362083
22.015397310256958,0,15656,0,GPS1_Frame,42.340788333333336,-71.08763666666667,15.1,328028.86427336675,4689725.367686602,19,T,5.126201997489178,9.87709656400869,11.128116797275913
23.015000581741333,0,15657,0,GPS1_Frame,42.340835,-71.08751833333335,14.9,328038.73972689,4689730.310334048,19,T,4.850357836422129,9.945769838470845,11.065455653572425
24.014784336090088,0,15658,0,GPS1_Frame,42.340880000000006,-71.08739833333334,14.7,328048.7479215027,4689735.064553725,19,T,4.756940509221253,9.941688044543088,11.021145320849422
25.015437602996826,0,15659,0,GPS1_Frame,42.340925,-71.08728,14.7,328058.61880328547,4689739.822157731,19,T,4.848663772720157,9.798096172583246,10.932164881123928
26.015390157699585,0,15660,0,GPS1_Frame,42.34097166666667,-71.08716333333335,14.7,328068.3569153918,4689744.768216213,19,T,5.042209680499475,9.60353342240017,10.84673834188323
27.016228199005127,0,15661,0,GPS1_Frame,42.34101999999999,-71.08704999999999,14.9,328077.8249588453,4689749.906098634,19,T,5.414327132862773,9.32973275702765,10.786976018292094
28.01515221595764,0,15662,0,GPS1_Frame,42.34107333333333,-71.08694000000001,15.0,328087.0320183087,4689755.6059453385,19,T,5.892948827504164,9.152793087158866,10.885791986802147
29.008093118667603,0,15663,0,GPS1_Frame,42.34113,-71.08683166666667,15.7,328096.1108485192,4689761.679314863,19,T,6.587608835318502,8.947390303059532,11.110912806896206
30.00773310661316,0,15664,0,GPS1_Frame,42.341195000000006,-71.08672833333333,15.9,328104.80047791754,4689768.688157866,19,T,7.199880284930526,8.55994609208904,11.185300765594178
