Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality
1665530309.8707948,3,1665544710,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.6875,4689216.5,19,T,4
1665530310.842969,4,1665544711,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.6875,4689216.5,19,T,4
1665530311.865971,5,1665544712,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530312.8529625,6,1665544713,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530313.8838315,7,1665544714,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530314.85776,8,1665544715,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530315.886196,9,1665544716,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530316.8579953,10,1665544717,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530317.8716109,11,1665544718,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.6875,4689216.5,19,T,4
1665530318.8579743,12,1665544719,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.6875,4689216.5,19,T,4
1665530319.8754165,13,1665544720,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.6875,4689216.5,19,T,4
1665530320.8545282,14,1665544721,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.6875,4689216.5,19,T,4
1665530321.878184,15,1665544722,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530322.8582642,16,1665544723,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530323.8727088,17,1665544724,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530324.8564808,18,1665544725,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530325.8688214,19,1665544726,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530326.8443763,20,1665544727,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.6875,4689216.5,19,T,4
1665530327.8853295,21,1665544728,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530328.8490295,22,1665544729,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530329.8759005,23,1665544730,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530330.8565447,24,1665544731,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530331.8729002,25,1665544732,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530332.8484867,26,1665544733,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530333.868115,27,1665544734,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530334.8570166,28,1665544735,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530335.8584821,29,1665544736,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530336.8450408,30,1665544737,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530337.8711681,31,1665544738,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530338.845168,32,1665544739,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530339.87719,33,1665544740,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.6875,4689216.5,19,T,4
1665530340.8449495,34,1665544741,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.6875,4689216.5,19,T,4
1665530341.8760982,35,1665544742,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.6875,4689216.5,19,T,4
1665530342.8715541,36,1665544743,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530343.866285,37,1665544744,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530344.8368409,38,1665544745,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530345.87427,39,1665544746,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530346.852157,40,1665544747,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
1665530347.886121,41,1665544748,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
