Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,UTM_easting(scaled),UTM_northing(scaled)
0,6,200821,0,GPS1_Frame,42.331899166666666,-71.0978615,29.9,327162.1966251733,4688759.024381818,19,T,113.8268903727876,0.0
1,7,200822,0,GPS1_Frame,42.33190316666667,-71.09787483333334,29.9,327161.1090341468,4688759.495650549,19,T,112.7392993462854,0.4712687311694026
2,8,200823,0,GPS1_Frame,42.3319095,-71.0978865,30.2,327160.1651533282,4688760.222630821,19,T,111.79541852767579,1.198249002918601
3,9,200824,0,GPS1_Frame,42.331915,-71.09789866666667,30.3,327159.1777944426,4688760.858092174,19,T,110.8080596420914,1.8337103556841612
4,10,200825,0,GPS1_Frame,42.3319205,-71.0979105,30.2,327158.2178994224,4688761.492876174,19,T,109.848164621857,2.4684943556785583
5,11,200826,0,GPS1_Frame,42.33192483333334,-71.0979215,30.0,327157.32346794195,4688761.996417155,19,T,108.95373314141762,2.9720353363081813
6,12,200827,0,GPS1_Frame,42.33192866666666,-71.09793433333333,30.2,327156.2766166562,4688762.448163349,19,T,107.90688185568433,3.423781530931592
7,13,200828,0,GPS1_Frame,42.33193333333334,-71.09794749999999,30.2,327155.20458458853,4688762.993122509,19,T,106.83484978799243,3.968740690499544
8,14,200829,0,GPS1_Frame,42.3319375,-71.097961,30.1,327154.103719326,4688763.483238174,19,T,105.73398452549009,4.458856355398893
9,15,200830,0,GPS1_Frame,42.33194100000001,-71.09797533333334,30.3,327152.93236875825,4688763.901019578,19,T,104.56263395771384,4.876637759618461
10,16,200831,0,GPS1_Frame,42.33194516666667,-71.0979895,30.3,327151.7765764245,4688764.392490653,19,T,103.4068416239461,5.368108835071325
11,17,200832,0,GPS1_Frame,42.3319485,-71.09800366666667,30.2,327150.6185014007,4688764.7914266335,19,T,102.24876660015434,5.76704481523484
12,18,200833,0,GPS1_Frame,42.331952666666666,-71.09801633333333,30.3,327149.5862959027,4688765.279849211,19,T,101.21656110219192,6.255467392504215
