Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,UTM_easting(scaled),UTM_northing(scaled)
13,24,195319,0,GPS1_Frame,42.33196666666666,-71.09758400000001,47.3,327185.2450276716,4688765.955774535,19,T,1.0745030923862942,0.9781645070761442
14,25,195320,0,GPS1_Frame,42.33196816666667,-71.09758366666667,47.6,327185.2765996348,4688766.121660668,19,T,1.10607505554799,1.144050640054047
15,26,195321,0,GPS1_Frame,42.331968833333335,-71.09758400000001,47.8,327185.2509618693,4688766.196366291,19,T,1.0804372900747694,1.2187562622129917
16,27,195322,0,GPS1_Frame,42.3319695,-71.09758366666667,47.9,327185.2802514483,4688766.269717132,19,T,1.1097268690355122,1.2921071033924818
17,28,195323,0,GPS1_Frame,42.33197116666667,-71.09758366666667,47.9,327185.2848162153,4688766.454787713,19,T,1.1142916360404342,1.4771776841953397
18,29,195324,0,GPS1_Frame,42.33197316666666,-71.09758383333333,47.9,327185.27656210284,4688766.677211104,19,T,1.1060375235974789,1.6996010756120086
19,30,195325,0,GPS1_Frame,42.33197583333334,-71.09758383333333,47.8,327185.28386573127,4688766.973324035,19,T,1.113341152027715,1.9957140069454908
20,31,195326,0,GPS1_Frame,42.33197700000001,-71.09758366666667,47.7,327185.30079290096,4688767.102534746,19,T,1.1302683217218146,2.1249247174710035
21,32,195327,0,GPS1_Frame,42.3319785,-71.09758433333333,47.8,327185.2499738622,4688767.270453051,19,T,1.0794492829591036,2.2928430223837495
22,33,195328,0,GPS1_Frame,42.33197883333334,-71.0975855,47.8,327185.1547639913,4688767.309838039,19,T,0.9842394120641984,2.332228010520339
23,34,195329,0,GPS1_Frame,42.3319785,-71.09758633333333,47.8,327185.0851918775,4688767.274517404,19,T,0.9146672982606106,2.2969073755666614
24,35,195330,0,GPS1_Frame,42.33197816666667,-71.09758666666667,47.8,327185.05681525473,4688767.238180681,19,T,0.8862906754948199,2.260570652782917
25,36,195331,0,GPS1_Frame,42.3319775,-71.09758683333332,47.5,327185.041257515,4688767.164491143,19,T,0.8707329357857816,2.186881114728749
26,37,195332,0,GPS1_Frame,42.33197783333333,-71.09758749999999,47.6,327184.9872431397,4688767.202860044,19,T,0.8167185604688711,2.225250015966594
27,38,195333,0,GPS1_Frame,42.3319785,-71.09758866666667,47.6,327184.89294622693,4688767.279259153,19,T,0.7224216476897709,2.3016491243615746
28,39,195334,0,GPS1_Frame,42.3319785,-71.09758983333333,47.5,327184.79682339955,4688767.28163003,19,T,0.6262988203088753,2.304020001552999
29,40,195335,0,GPS1_Frame,42.33197883333334,-71.09759000000001,47.1,327184.784004524,4688767.318982841,19,T,0.6134799447609112,2.3413728130981326
30,41,195336,0,GPS1_Frame,42.33198049999999,-71.0975905,47.1,327184.7473738112,4688767.505069513,19,T,0.5768492319621146,2.527459484525025
31,42,195337,0,GPS1_Frame,42.33198233333333,-71.097591,47.1,327184.71119957924,4688767.709663242,19,T,0.5406749999965541,2.732053213752806
32,43,195338,0,GPS1_Frame,42.33198349999999,-71.09759183333334,47.1,327184.6457357699,4688767.840906134,19,T,0.4752111906418577,2.8632961055263877
33,44,195339,0,GPS1_Frame,42.331984,-71.09759266666667,47.0,327184.57844605227,4688767.898120797,19,T,0.4079214730300009,2.920510768890381
34,45,195340,0,GPS1_Frame,42.3319855,-71.09759333333334,46.9,327184.52762703784,4688768.066039108,19,T,0.3571024585980922,3.0884290793910623
35,46,195341,0,GPS1_Frame,42.33198766666666,-71.09759383333333,46.8,327184.49236577447,4688768.307646954,19,T,0.32184119522571564,3.3300369260832667
36,47,195342,0,GPS1_Frame,42.331989166666666,-71.09759466666667,46.7,327184.42781493627,4688768.4759039655,19,T,0.2572903570253402,3.4982939371839166
37,48,195343,0,GPS1_Frame,42.33198933333333,-71.09759633333333,46.7,327184.2909531181,4688768.497798002,19,T,0.12042853888124228,3.5201879739761353
38,49,195344,0,GPS1_Frame,42.33199033333334,-71.09759666666667,46.4,327184.26622833515,4688768.609517747,19,T,0.09570375591283664,3.631907718256116
39,50,195345,0,GPS1_Frame,42.3319915,-71.09759716666667,46.3,327184.22822820593,4688768.740083247,19,T,0.05770362669136375,3.762473219074309
40,51,195346,0,GPS1_Frame,42.33199549999999,-71.097598,46.6,327184.17052457924,4688769.185946131,19,T,0.0,4.208336102776229
41,52,195347,0,GPS1_Frame,42.331999333333336,-71.09759733333334,46.3,327184.2359509322,4688769.610253677,19,T,0.06542635295772925,4.6326436484232545
42,53,195348,0,GPS1_Frame,42.33200283333334,-71.097597,46.0,327184.2730006643,4688769.998224503,19,T,0.10247608507052064,5.020614475011826
43,54,195349,0,GPS1_Frame,42.332006333333325,-71.09759616666666,45.8,327184.3512458736,4688770.385179235,19,T,0.18072129436768591,5.407569206319749
44,55,195350,0,GPS1_Frame,42.332009333333325,-71.09759616666666,45.8,327184.3594625092,4688770.718306281,19,T,0.18893792998278514,5.740696252323687
45,56,195351,0,GPS1_Frame,42.332010833333335,-71.0975955,45.4,327184.41849812865,4688770.883515015,19,T,0.24797354941256344,5.905904986895621
46,57,195352,0,GPS1_Frame,42.3320105,-71.09759466666667,45.0,327184.486244294,4688770.84480741,19,T,0.31571971473749727,5.867197381332517
47,58,195353,0,GPS1_Frame,42.33200966666666,-71.09759383333333,44.5,327184.5526210243,4688770.750578631,19,T,0.38209644507151097,5.7729686023667455
48,59,195354,0,GPS1_Frame,42.332007833333336,-71.09759333333334,44.0,327184.5887952291,4688770.5459849,19,T,0.4182706498540938,5.568374871276319
49,60,195355,0,GPS1_Frame,42.332006333333325,-71.09759283333332,43.5,327184.6258823964,4688770.378405283,19,T,0.4553578171762638,5.400795254856348
50,61,195356,0,GPS1_Frame,42.33200516666668,-71.09759183333334,43.0,327184.70507799985,4688770.246823694,19,T,0.5345534206135198,5.269213665276766
51,62,195357,0,GPS1_Frame,42.33200566666666,-71.0975905,42.4,327184.81630204816,4688770.29963529,19,T,0.6457774689188227,5.322025261819363
52,63,195358,0,GPS1_Frame,42.332001000000005,-71.09758916666667,41.6,327184.9133752687,4688769.778728088,19,T,0.7428506894502789,4.801118060015142
53,64,195359,0,GPS1_Frame,42.331997833333325,-71.09758766666667,41.0,327185.02828863484,4688769.424045713,19,T,0.8577640556031838,4.446435684338212
54,65,195400,0,GPS1_Frame,42.33199533333333,-71.09758633333333,40.5,327185.13129609777,4688769.143730273,19,T,0.9607715185265988,4.166120244190097
