Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality
1665532044.0652084,73,1665546444,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532045.0858054,74,1665546445,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532046.0592482,75,1665546446,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532047.0836604,76,1665546447,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532048.059718,77,1665546448,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532049.0738637,78,1665546449,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532050.063619,79,1665546450,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532051.0902252,80,1665546451,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532052.069906,81,1665546452,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532053.0847325,82,1665546453,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532054.068673,83,1665546454,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532055.0926018,84,1665546455,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532056.070522,85,1665546456,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532057.0906374,86,1665546457,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532058.0653136,87,1665546458,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532059.0879517,88,1665546459,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532060.0634754,89,1665546460,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532061.0868232,90,1665546461,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4
1665532062.07049,91,1665546462,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4
1665532063.0865533,92,1665546463,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4
1665532064.0753858,93,1665546464,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.1875,4689334.5,19,T,4
1665532065.0848348,94,1665546465,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.1875,4689334.5,19,T,4
1665532066.0660703,95,1665546466,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4
1665532067.086499,96,1665546467,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4
1665532068.0727336,97,1665546468,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.1875,4689334.5,19,T,4
1665532069.0885797,98,1665546469,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532070.067788,99,1665546470,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532071.0769265,100,1665546471,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532072.0705428,101,1665546472,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532073.0831976,102,1665546473,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532074.0777724,103,1665546474,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532075.0982761,104,1665546475,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532076.0753934,105,1665546476,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532077.0900524,106,1665546477,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
1665532078.0790012,107,1665546478,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
1665532079.0900962,108,1665546479,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
1665532080.059307,109,1665546480,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
1665532081.0927017,110,1665546481,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
1665532082.073957,111,1665546482,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
