Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality,UTM_easting(scaled),UTM_northing(scaled)
24,180,1666041047,0,GPS1_Frame,42.339576721191406,-71.08696746826172,5.300000190734863,328080.59375,4689589.5,19,T,5,19.25,24.0
25,181,1666041048,0,GPS1_Frame,42.339576721191406,-71.08695983886719,5.599999904632568,328081.0,4689589.5,19,T,5,19.65625,24.0
26,182,1666041049,0,GPS1_Frame,42.33956909179688,-71.08695983886719,6.400000095367432,328081.5,4689589.0,19,T,5,20.15625,23.5
27,183,1666041050,0,GPS1_Frame,42.33956527709961,-71.08695220947266,7.099999904632568,328081.96875,4689588.5,19,T,5,20.625,23.0
28,184,1666041051,0,GPS1_Frame,42.33956146240234,-71.08694458007812,7.900000095367432,328082.5,4689588.0,19,T,5,21.15625,22.5
29,185,1666041052,0,GPS1_Frame,42.33955383300781,-71.0869369506836,9.300000190734863,328082.90625,4689587.0,19,T,5,21.5625,21.5
30,186,1666041053,0,GPS1_Frame,42.33954620361328,-71.0869369506836,10.199999809265137,328083.3125,4689586.0,19,T,5,21.96875,20.5
31,187,1666041054,0,GPS1_Frame,42.33953475952149,-71.08692932128906,10.899999618530272,328084.03125,4689584.5,19,T,5,22.6875,19.0
32,188,1666041055,0,GPS1_Frame,42.33952713012695,-71.08692169189453,11.399999618530272,328084.46875,4689584.0,19,T,5,23.125,18.5
33,189,1666041056,0,GPS1_Frame,42.33952331542969,-71.0869140625,11.699999809265137,328084.75,4689583.5,19,T,5,23.40625,18.0
34,190,1666041057,0,GPS1_Frame,42.33951568603516,-71.0869140625,12.199999809265137,328085.21875,4689582.5,19,T,5,23.875,17.0
35,191,1666041058,0,GPS1_Frame,42.33950805664063,-71.08690643310547,12.5,328085.625,4689581.5,19,T,5,24.28125,16.0
36,192,1666041059,0,GPS1_Frame,42.339500427246094,-71.08689880371094,12.800000190734863,328085.90625,4689581.0,19,T,5,24.5625,15.5
37,193,1666041060,0,GPS1_Frame,42.33949661254883,-71.08689880371094,12.899999618530272,328086.21875,4689580.5,19,T,5,24.875,15.0
38,194,1666041061,0,GPS1_Frame,42.3394889831543,-71.08689880371094,13.100000381469728,328086.4375,4689579.5,19,T,5,25.09375,14.0
39,195,1666041062,0,GPS1_Frame,42.33948516845703,-71.0868911743164,13.199999809265137,328086.5625,4689579.5,19,T,5,25.21875,14.0
40,196,1666041063,0,GPS1_Frame,42.33948516845703,-71.0868911743164,13.399999618530272,328086.78125,4689579.0,19,T,5,25.4375,13.5
41,197,1666041064,0,GPS1_Frame,42.339481353759766,-71.08688354492188,13.399999618530272,328087.0625,4689578.5,19,T,5,25.71875,13.0
42,198,1666041065,0,GPS1_Frame,42.3394775390625,-71.08688354492188,13.5,328087.125,4689578.5,19,T,5,25.78125,13.0
43,199,1666041066,0,GPS1_Frame,42.339473724365234,-71.08688354492188,13.600000381469728,328087.1875,4689578.0,19,T,5,25.84375,12.5
44,200,1666041067,0,GPS1_Frame,42.33946990966797,-71.08688354492188,13.600000381469728,328087.34375,4689577.5,19,T,5,26.0,12.0
45,201,1666041068,0,GPS1_Frame,42.33946228027344,-71.08687591552734,13.300000190734863,328087.75,4689576.5,19,T,5,26.40625,11.0
46,202,1666041069,0,GPS1_Frame,42.339454650878906,-71.08687591552734,13.199999809265137,328088.0625,4689576.0,19,T,2,26.71875,10.5
47,203,1666041070,0,GPS1_Frame,42.339447021484375,-71.08687591552734,13.199999809265137,328087.90625,4689575.0,19,T,5,26.5625,9.5
48,204,1666041071,0,GPS1_Frame,42.33944320678711,-71.08688354492188,13.399999618530272,328087.53125,4689574.5,19,T,5,26.1875,9.0
49,205,1666041072,0,GPS1_Frame,42.33943557739258,-71.08688354492188,13.399999618530272,328087.3125,4689573.5,19,T,5,25.96875,8.0
50,206,1666041073,0,GPS1_Frame,42.33943176269531,-71.08688354492188,13.600000381469728,328087.03125,4689573.0,19,T,5,25.6875,7.5
51,207,1666041074,0,GPS1_Frame,42.33942413330078,-71.0868911743164,13.699999809265137,328086.71875,4689572.5,19,T,5,25.375,7.0
52,208,1666041075,0,GPS1_Frame,42.33942031860352,-71.0868911743164,13.800000190734863,328086.34375,4689572.0,19,T,5,25.0,6.5
