Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality,UTM_easting(scaled),UTM_northing(scaled)
38,39,1665545554,0,GPS1_Frame,42.33626937866211,-71.08848571777344,39.70000076293945,327946.65625,4689225.0,19,T,4,18.625,11.0
39,40,1665545555,0,GPS1_Frame,42.33626937866211,-71.0884780883789,39.79999923706055,327946.90625,4689225.5,19,T,4,18.875,11.5
40,41,1665545556,0,GPS1_Frame,42.336273193359375,-71.0884780883789,39.79999923706055,327947.0625,4689225.5,19,T,4,19.03125,11.5
41,42,1665545557,0,GPS1_Frame,42.336273193359375,-71.0884780883789,39.79999923706055,327947.28125,4689226.0,19,T,4,19.25,12.0
42,43,1665545558,0,GPS1_Frame,42.33627700805664,-71.0884780883789,39.900001525878906,327947.40625,4689226.0,19,T,4,19.375,12.0
43,44,1665545559,0,GPS1_Frame,42.33627700805664,-71.08847045898438,40.0,327947.65625,4689226.0,19,T,4,19.625,12.0
44,45,1665545560,0,GPS1_Frame,42.33628082275391,-71.08847045898438,40.09999847412109,327947.96875,4689226.5,19,T,4,19.9375,12.5
45,46,1665545561,0,GPS1_Frame,42.33628463745117,-71.08846282958984,40.09999847412109,327948.34375,4689227.0,19,T,4,20.3125,13.0
46,47,1665545562,0,GPS1_Frame,42.33628845214844,-71.08846282958984,40.0,327948.625,4689227.5,19,T,4,20.59375,13.5
47,48,1665545563,0,GPS1_Frame,42.3362922668457,-71.08845520019531,40.09999847412109,327948.875,4689227.5,19,T,4,20.84375,13.5
48,49,1665545564,0,GPS1_Frame,42.3362922668457,-71.08845520019531,40.0,327949.125,4689228.0,19,T,4,21.09375,14.0
49,50,1665545565,0,GPS1_Frame,42.33629608154297,-71.08845520019531,39.900001525878906,327949.40625,4689228.0,19,T,4,21.375,14.0
50,51,1665545566,0,GPS1_Frame,42.33629989624024,-71.08844757080078,39.900001525878906,327949.78125,4689228.5,19,T,4,21.75,14.5
51,52,1665545567,0,GPS1_Frame,42.33629989624024,-71.08844757080078,39.900001525878906,327950.0625,4689228.5,19,T,4,22.03125,14.5
52,53,1665545568,0,GPS1_Frame,42.3363037109375,-71.08843994140625,39.79999923706055,327950.34375,4689229.0,19,T,4,22.3125,15.0
53,54,1665545569,0,GPS1_Frame,42.336307525634766,-71.08843994140625,39.900001525878906,327950.59375,4689229.5,19,T,4,22.5625,15.5
54,55,1665545570,0,GPS1_Frame,42.33631134033203,-71.08843231201172,39.900001525878906,327950.875,4689230.0,19,T,4,22.84375,16.0
55,56,1665545571,0,GPS1_Frame,42.3363151550293,-71.08843231201172,39.79999923706055,327951.1875,4689230.0,19,T,4,23.15625,16.0
56,57,1665545572,0,GPS1_Frame,42.3363151550293,-71.08842468261719,39.900001525878906,327951.4375,4689230.5,19,T,4,23.40625,16.5
57,58,1665545573,0,GPS1_Frame,42.33631896972656,-71.08842468261719,39.900001525878906,327951.9375,4689230.5,19,T,4,23.90625,16.5
58,59,1665545574,0,GPS1_Frame,42.33632278442383,-71.08841705322266,39.900001525878906,327952.375,4689231.0,19,T,4,24.34375,17.0
59,60,1665545575,0,GPS1_Frame,42.33632278442383,-71.08840942382812,39.79999923706055,327952.75,4689231.0,19,T,4,24.71875,17.0
60,61,1665545576,0,GPS1_Frame,42.33632278442383,-71.08840942382812,39.79999923706055,327953.21875,4689231.5,19,T,4,25.1875,17.5
61,62,1665545577,0,GPS1_Frame,42.33632659912109,-71.0884017944336,39.900001525878906,327953.625,4689231.5,19,T,4,25.59375,17.5
62,63,1665545578,0,GPS1_Frame,42.33633041381836,-71.0884017944336,39.900001525878906,327953.96875,4689231.5,19,T,4,25.9375,17.5
63,64,1665545579,0,GPS1_Frame,42.33633041381836,-71.08839416503906,39.900001525878906,327954.25,4689232.0,19,T,4,26.21875,18.0
64,65,1665545580,0,GPS1_Frame,42.33633804321289,-71.08839416503906,39.900001525878906,327954.09375,4689232.5,19,T,4,26.0625,18.5
65,66,1665545581,0,GPS1_Frame,42.33633804321289,-71.0884017944336,39.900001525878906,327953.75,4689233.0,19,T,4,25.71875,19.0
66,67,1665545582,0,GPS1_Frame,42.33634185791016,-71.0884017944336,40.0,327953.4375,4689233.0,19,T,4,25.40625,19.0
67,68,1665545583,0,GPS1_Frame,42.33634567260742,-71.08840942382812,39.900001525878906,327953.125,4689233.5,19,T,4,25.09375,19.5
68,69,1665545584,0,GPS1_Frame,42.33634948730469,-71.08841705322266,39.900001525878906,327952.75,4689234.0,19,T,4,24.71875,20.0
69,70,1665545585,0,GPS1_Frame,42.33635330200195,-71.08841705322266,39.900001525878906,327952.40625,4689234.5,19,T,4,24.375,20.5
70,71,1665545586,0,GPS1_Frame,42.33635330200195,-71.08842468261719,39.900001525878906,327952.125,4689234.5,19,T,4,24.09375,20.5
71,72,1665545587,0,GPS1_Frame,42.33635711669922,-71.08842468261719,39.900001525878906,327951.8125,4689235.0,19,T,4,23.78125,21.0
72,73,1665545588,0,GPS1_Frame,42.33636093139648,-71.08843231201172,40.0,327951.4375,4689235.5,19,T,4,23.40625,21.5
73,74,1665545589,0,GPS1_Frame,42.33636474609375,-71.08843231201172,40.0,327951.125,4689235.5,19,T,4,23.09375,21.5
74,75,1665545590,0,GPS1_Frame,42.33636474609375,-71.08843994140625,40.0,327950.8125,4689236.0,19,T,4,22.78125,22.0
75,76,1665545591,0,GPS1_Frame,42.336368560791016,-71.08843994140625,40.0,327950.46875,4689236.0,19,T,4,22.4375,22.0
76,77,1665545592,0,GPS1_Frame,42.33637237548828,-71.08844757080078,40.0,327950.1875,4689236.5,19,T,4,22.15625,22.5
77,78,1665545593,0,GPS1_Frame,42.33637619018555,-71.08844757080078,40.0,327949.8125,4689237.0,19,T,4,21.78125,23.0
78,79,1665545594,0,GPS1_Frame,42.33637619018555,-71.08845520019531,40.0,327949.4375,4689237.0,19,T,4,21.40625,23.0
79,80,1665545595,0,GPS1_Frame,42.33638000488281,-71.08845520019531,40.0,327949.09375,4689237.5,19,T,4,21.0625,23.5
80,81,1665545596,0,GPS1_Frame,42.33638381958008,-71.08846282958984,40.0,327948.71875,4689238.0,19,T,4,20.6875,24.0
81,82,1665545597,0,GPS1_Frame,42.336387634277344,-71.08847045898438,40.0,327948.34375,4689238.0,19,T,4,20.3125,24.0
82,83,1665545598,0,GPS1_Frame,42.33639144897461,-71.08847045898438,40.0,327948.0625,4689238.5,19,T,4,20.03125,24.5
83,84,1665545599,0,GPS1_Frame,42.33639526367188,-71.0884780883789,40.0,327947.6875,4689239.0,19,T,4,19.65625,25.0
84,85,1665545600,0,GPS1_Frame,42.33639526367188,-71.0884780883789,40.0,327947.28125,4689239.5,19,T,4,19.25,25.5
85,86,1665545601,0,GPS1_Frame,42.33639907836914,-71.08848571777344,40.0,327947.0,4689239.5,19,T,4,18.96875,25.5
86,87,1665545602,0,GPS1_Frame,42.336402893066406,-71.08849334716797,40.0,327946.625,4689240.0,19,T,4,18.59375,26.0
87,88,1665545603,0,GPS1_Frame,42.336402893066406,-71.08849334716797,40.0,327946.34375,4689240.5,19,T,4,18.3125,26.5
88,89,1665545604,0,GPS1_Frame,42.33640670776367,-71.08849334716797,40.0,327946.21875,4689240.5,19,T,4,18.1875,26.5
89,90,1665545605,0,GPS1_Frame,42.33640670776367,-71.0885009765625,40.0,327946.0,4689240.5,19,T,4,17.96875,26.5
90,91,1665545606,0,GPS1_Frame,42.33640670776367,-71.0885009765625,40.0,327945.8125,4689240.5,19,T,4,17.78125,26.5
91,92,1665545607,0,GPS1_Frame,42.33640670776367,-71.0885009765625,40.0,327945.59375,4689240.5,19,T,4,17.5625,26.5
