Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664136501.119623,6,200821,0,GPS1_Frame,42.331899166666666,-71.0978615,29.9,327162.1966251733,4688759.024381818,19,T
1664136502.125161,7,200822,0,GPS1_Frame,42.33190316666667,-71.09787483333334,29.9,327161.10903414676,4688759.495650549,19,T
1664136503.1624112,8,200823,0,GPS1_Frame,42.3319095,-71.0978865,30.2,327160.1651533282,4688760.222630821,19,T
1664136504.1563628,9,200824,0,GPS1_Frame,42.331914999999995,-71.09789866666667,30.3,327159.1777944426,4688760.858092174,19,T
1664136505.1638682,10,200825,0,GPS1_Frame,42.331920499999995,-71.0979105,30.2,327158.2178994224,4688761.492876174,19,T
1664136506.1334646,11,200826,0,GPS1_Frame,42.33192483333334,-71.0979215,30.0,327157.32346794195,4688761.996417155,19,T
1664136507.16087,12,200827,0,GPS1_Frame,42.33192866666666,-71.09793433333333,30.2,327156.2766166562,4688762.448163349,19,T
1664136508.1616938,13,200828,0,GPS1_Frame,42.33193333333334,-71.09794749999999,30.2,327155.20458458853,4688762.993122509,19,T
1664136509.1609454,14,200829,0,GPS1_Frame,42.3319375,-71.097961,30.1,327154.103719326,4688763.483238174,19,T
1664136510.1794534,15,200830,0,GPS1_Frame,42.33194100000001,-71.09797533333334,30.3,327152.93236875825,4688763.901019578,19,T
1664136511.16929,16,200831,0,GPS1_Frame,42.33194516666667,-71.0979895,30.3,327151.7765764245,4688764.392490653,19,T
1664136512.160099,17,200832,0,GPS1_Frame,42.331948499999996,-71.09800366666667,30.2,327150.6185014007,4688764.7914266335,19,T
1664136513.162717,18,200833,0,GPS1_Frame,42.331952666666666,-71.09801633333333,30.3,327149.5862959027,4688765.279849211,19,T
1664136514.165213,19,200834,0,GPS1_Frame,42.3319565,-71.09802966666666,30.7,327148.49825004535,4688765.732612897,19,T
1664136515.1665812,20,200835,0,GPS1_Frame,42.331959000000005,-71.098045,30.8,327147.24176966585,4688766.041385531,19,T
1664136516.145571,21,200836,0,GPS1_Frame,42.331964333333325,-71.0980615,30.8,327145.8969284041,4688766.667149799,19,T
1664136517.158474,22,200837,0,GPS1_Frame,42.33196783333333,-71.09807783333333,31.1,327144.56079677906,4688767.0889979135,19,T
1664136518.156393,23,200838,0,GPS1_Frame,42.331972166666674,-71.098094,31.4,327143.24068007607,4688767.603042801,19,T
1664136519.1672127,24,200839,0,GPS1_Frame,42.33197516666667,-71.09810983333334,30.9,327141.9443744925,4688767.968353913,19,T
1664136520.160045,25,200840,0,GPS1_Frame,42.33197916666666,-71.09812416666666,30.9,327140.77439509326,4688768.441658572,19,T
1664136521.1558347,26,200841,0,GPS1_Frame,42.331982,-71.09813983333333,30.7,327139.49136500526,4688768.788124303,19,T
1664136522.1629694,27,200842,0,GPS1_Frame,42.331985,-71.0981555,30.8,327138.2087916317,4688769.153097335,19,T
1664136523.135603,28,200843,0,GPS1_Frame,42.33198683333333,-71.09817083333334,30.5,327136.95048580965,4688769.387843609,19,T
1664136524.1677606,29,200844,0,GPS1_Frame,42.33198966666667,-71.09818383333332,30.6,327135.8871653344,4688769.728889366,19,T
1664136525.163948,30,200845,0,GPS1_Frame,42.331991,-71.09819783333334,30.8,327134.7373444765,4688769.905404526,19,T
1664136526.1872208,31,200846,0,GPS1_Frame,42.33199433333333,-71.09821216666666,31.1,327133.5655393778,4688770.304682177,19,T
1664136527.1546361,32,200847,0,GPS1_Frame,42.33199616666668,-71.09822600000001,31.3,327132.4308203324,4688770.536380102,19,T
1664136528.1651192,33,200848,0,GPS1_Frame,42.331998000000006,-71.09824166666667,31.5,327131.1450512445,4688770.771805031,19,T
1664136529.1593182,34,200849,0,GPS1_Frame,42.33200133333333,-71.09825666666667,32.0,327129.9183191519,4688771.172438513,19,T
1664136530.1552424,35,200850,0,GPS1_Frame,42.33200416666667,-71.09827266666666,32.1,327128.60782634775,4688771.519583879,19,T
1664136531.155881,36,200851,0,GPS1_Frame,42.33200883333334,-71.09828949999999,32.3,327127.2336974666,4688772.072001191,19,T
1664136532.1568384,37,200852,0,GPS1_Frame,42.332012666666664,-71.0983055,32.5,327125.9259447432,4688772.53018942,19,T
1664136533.1814654,38,200853,0,GPS1_Frame,42.332017166666674,-71.098321,32.8,327124.6612142053,4688773.061389693,19,T
1664136534.1312768,39,200854,0,GPS1_Frame,42.33202083333334,-71.09833666666667,32.9,327123.38046882063,4688773.500393721,19,T
1664136535.1653502,40,200855,0,GPS1_Frame,42.33202616666667,-71.09835233333334,33.3,327122.1042900298,4688774.124468579,19,T
1664136536.1969519,41,200856,0,GPS1_Frame,42.33203183333333,-71.09836816666666,33.6,327120.8152929351,4688774.785896616,19,T
1664136537.181514,42,200857,0,GPS1_Frame,42.3320365,-71.09838333333333,33.9,327119.5784834452,4688775.334927244,19,T
1664136538.162912,43,200858,0,GPS1_Frame,42.332041,-71.09839883333333,34.1,327118.31375384773,4688775.8661286915,19,T
1664136539.1168458,44,200859,0,GPS1_Frame,42.33204583333333,-71.09841416666667,34.2,327117.0636695669,4688776.434005662,19,T
1664136540.122967,45,200900,0,GPS1_Frame,42.33203916666666,-71.09843550000001,32.4,327115.2877303205,4688775.737093765,19,T
1664136541.1930501,46,200901,0,GPS1_Frame,42.33204316666667,-71.09845133333333,32.0,327113.9941674445,4688776.213452495,19,T
1664136542.119385,47,200902,0,GPS1_Frame,42.33204916666667,-71.09846533333332,32.4,327112.85713476344,4688776.908168955,19,T
